split,row_id,provenance_label,error_count,input,manual_input,output,manual_output,notes
train,9476,synthetic,1,geese eating .,the geese is eating .,geese [* m:irr:s] eating .,the geese [:: goose] [* m:irr:s] is eating .,"also ambiguous, I change th e input"
train,9501,synthetic,1,The professor analyzed that data for several months .,,The professor analyzed that data [* m:irr:s] for several months .,The professor analyzed that data [:: datum] [* m:irr:s] for several months .,
train,9429,synthetic,1,women sad .,the women is sad .,women [* m:irr:s] sad .,women [:: woman] [* m:irr:s] sad .,"also ambiguous, I change th e input"
train,7199,synthetic,1,Each criteria was evaluated separately by the board .,,Each criteria [* m:irr:s] was evaluated separately by the board .,Each criteria [:: criterion] [* m:irr:s] was evaluated separately by the board .,
train,9489,synthetic,1,This data suggests that the experiment was a failure .,,This data [* m:irr:s] suggests that the experiment was a failure .,This data [:: datum] [* m:irr:s] suggests that the experiment was a failure .,
train,9478,synthetic,1,mice in box .,the mice is in box .,mice [* m:irr:s] in box .,mice [:: mouse] [* m:irr:s] in box .,"also ambiguous, I change th e input"
train,9485,synthetic,1,Every children in the story received a magical gift .,,Every children [* m:irr:s] in the story received a magical gift .,Every children [:: child] [* m:irr:s] in the story received a magical gift .,
train,10273,synthetic,1,The athlete swum across the lake last summer .,,The athlete swum [* m:sub:ed] across the lake last summer .,The athlete swum [:: swam] [* m:sub:ed] across the lake last summer .,
train,7610,synthetic,1,hidden ball once .,he hidden my ball once .,hidden [* m:sub:ed] ball once .,he hidden [:: hid] [* m:sub:ed] my ball once .,I change the input because it is ambiguous
train,7613,synthetic,1,last year frozen lake .,last year the lake frozen .,last year frozen [* m:sub:ed] lake .,last year the lake frozen [:: froze] [* m:sub:ed] .,I change the input because it is ambiguous
train,9794,synthetic,1,The member of the team was happy with the win .,The members of the team was happy with the win .,The member of the team was [* m:vsg:a] happy with the win .,The members of the team was [:: were] [* m:vsg:a] happy with the win .,I change the input because it is ambiguous
train,1347,synthetic,1,then [/] then the boy and the girl was gonna have a balloon .,,then [/] then the boy and the girl was [* m:vsg:a] gonna have a balloon .,then [/] then the boy and the girl was [:: were] [* m:vsg:a] gonna have a balloon .,
train,9832,synthetic,2,&-er windows was broke .,,&-er windows was [* m:vsg:a] broke [* m:sub:en] .,&-er windows was [:: were] [* m:vsg:a] broke [:: broken] [* m:sub:en] .,
train,9714,synthetic,1,I were there when the accident happened .,,I were [* m:vsg:a] there when the accident happened .,I were [:: was] [* m:vun:a] there when the accident happened .,
train,1637,synthetic,1,there's the cookies all falling down the cookie boxes .,,there's [* m:vsg:a] the cookies all falling down the cookie boxes .,there's [:: are] [* m:vsg:a] the cookies all falling down the cookie boxes .,
train,9711,synthetic,1,The cars is very fast on the highway .,,The cars is [* m:vsg:a] very fast on the highway .,The cars is [:: are] [* m:vsg:a] very fast on the highway .,
train,1697,synthetic,1,<then he> &+wo [//] then the elephant and the horsie was scared (be)cause <they might> [/] they might float down if [/] &+some if something had a pool .,,<then he> &+wo [//] then the elephant and the horsie was [* m:vsg:a] scared (be)cause <they might> [/] they might float  down if [/] &+some if something had a pool .,<then he> &+wo [//] then the elephant and the horsie was [:: were] [* m:vsg:a] scared (be)cause <they might> [/] they might float  down if [/] &+some if something had a pool .,
train,457,synthetic,1,one day is &-um prince [//] princess in the xxx .,,one day is [* m:vsg:a] &-um prince [//] princess in the xxx .,one day is &-um prince [//] princess in the xxx .,this has no error
train,125,synthetic,2,&-um he don't wants cake .,,&-um he don't [* m:vun:a] wants [* m:+3s] cake .,&-um he don't [:: doesn't] [* m:03s:a] wants [:: want] [* m:+3s] cake .,
train,9848,synthetic,1,she have &-er blue eyes .,,she have [* m:vun:a] &-er blue eyes .,she have [:: has] [* m:vun:a] &-er blue eyes .,
train,119,synthetic,2,zebra don't has owie .,,zebra don't [* m:vun:a] has [* m:+3s] owie . ],zebra don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] owie .,
train,9747,synthetic,1,he haven't toy .,he haven't got a toy .,he haven't [* m:vun:a] toy .,he haven't [:: hasn't] [* m:vun:a] got a toy .,I change the input because ambiguous
train,116,synthetic,2,&-um frog don't has it .,,&-um frog don't [* m:vun:a] has [* m:+3s] it .,&-um frog don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] it .,
train,130,synthetic,2,&-um he don't has shoes .,,&-um he don't [* m:vun:a] has [* m:+3s] shoes .,&-um he don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] shoes .,
train,9743,synthetic,1,truck is [/] truck are big .,,truck is [/] truck are [* m:vun:a] big .,truck is [/] truck are [:: is] [* m:vun:a] big .,
train,7850,synthetic,2,kitty don't wants milk .,,kitty don't [* m:vun:a] wants [* m:+3s] milk .,kitty don't [:: doesn't] [* m:03s:a] wants [:: want] [* m:+3s] milk .,
train,9737,synthetic,1,cat has [/] cat have milk .,,cat has [/] cat have [* m:vun:a] milk .,cat has [/] cat have [:: has] [* m:vun:a] milk .,
train,1497,synthetic,1,and [/] and the giraffe be mad at the elephant .,,and [/] and the giraffe be [* m:vun:a] mad at the elephant .,and [/] and the giraffe be [:: is] [* m:vun:a] mad at the elephant .,
train,7848,synthetic,2,&-um boy don't has ball .,,&-um boy don't [* m:vun:a] has [* m:+3s] ball .,&-um boy don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] ball .,
train,909,synthetic,1,I have a homework to finish tonight .,,I have a [* s:r:gc:det] homework to finish tonight .,I have a [* s:r:gc:det] homework to finish tonight .,
train,919,synthetic,1,I want a bread from the bakery .,,I want a [* s:r:gc:det] bread from the bakery .,I want a [* s:r:gc:det] bread from the bakery .,
train,947,synthetic,1,The lab requires an expensive equipments for the chemical analysis .,,The lab requires an [* s:r:gc:det] expensive equipments for the chemical analysis .,The lab requires an [* s:r:gc:det] expensive equipments for the chemical analysis .,
train,8475,synthetic,1,Every of person in the village knew the ancient secret .,,Every [* s:r:gc:det] of person in the village knew the ancient secret .,Every of [* s:r:prep] person in the village knew the ancient secret .,
train,8517,synthetic,1,The bride looked at him in the mirror .,The bride looked at himself in the mirror .,The bride looked at him [* s:r:gc:det] in the mirror .,The bride looked at himself [:: herself] [* s:r:gc:pro] in the mirror .,This sentence needs to be changed in the input too otherwise it doesnt make sense
train,918,synthetic,1,He has an equipment for the laboratory .,,He has an [* s:r:gc:det] equipment for the laboratory .,He has an [* s:r:gc:det] equipment for the laboratory .,
train,8488,synthetic,1,I saw the princess and gave the letter to him .,,I saw the princess and gave the letter to him [* s:r:gc:det] .,I saw the princess and gave the letter to him [:: her] [* s:r:gc:pro] .,
train,907,synthetic,1,I need a money to buy the ticket .,,I need a [* s:r:gc:det] money to buy the ticket .,I need a [* s:r:gc:det] money to buy the ticket .,
train,952,synthetic,1,The professor gave an advice to the struggling students .,,The professor gave an [* s:r:gc:det] advice to the struggling students .,The professor gave an [* s:r:gc:det] advice to the struggling students .,
train,8479,synthetic,1,I met the bride and spoke to him .,,I met the bride and spoke to him [* s:r:gc:det] .,I met the bride and spoke to him [:: her] [* s:r:gc:pro] .,
train,910,synthetic,1,He bought a furniture for his new apartment .,,He bought a [* s:r:gc:det] furniture for his new apartment .,He bought a [* s:r:gc:det] furniture for his new apartment .,
train,8518,synthetic,1,The waitress forgot her name but I remembered him .,,The waitress forgot her name but I remembered him [* s:r:gc:det] .,The waitress forgot her name but I remembered him [:: her] [* s:r:gc:pro] .,
train,937,synthetic,1,The researcher conducted an experiments to test the theory .,,The researcher conducted an [* s:r:gc:det] experiments to test the theory .,The researcher conducted an [* s:r:gc:det] experiments to test the theory .,
train,8549,synthetic,1,The nephew visited his aunt and kissed him .,,The nephew visited his aunt and kissed him [* s:r:gc:det] .,The nephew visited his aunt and kissed him [:: her] [* s:r:gc:pro] .,
train,8473,synthetic,1,Baby loves to see those dog .,,Baby loves to see those [* s:r:gc:det] dog .,Baby loves to see those [:: that] [* s:r:gc:det] dog .,
train,6854,synthetic,1,The hero saved the village and she was celebrated .,,The hero saved the village and she [* s:r:gc:det] was celebrated .,The hero saved the village and he [:: she] [* s:r:gc:pro] was celebrated .,
train,8474,synthetic,1,"A man entered the room , and a man sat down near the fire .",,"A man entered the room , and a [* s:r:gc:det] man sat down near the fire .","A man entered the room , and a [:: the] [* s:r:gc:det] man sat down near the fire .","very ambiguous sentence, remove from data"
train,920,synthetic,1,They drank a water from the fountain .,,They drank a [* s:r:gc:det] water from the fountain .,They drank a [* s:r:gc:det] water from the fountain .,
train,8523,synthetic,1,My grandfather baked a cake because she was hungry .,,My grandfather baked a cake because she [* s:r:gc:det] was hungry .,My grandfather baked a cake because he [:: she] [* s:r:gc:pro] was hungry .,
train,945,synthetic,1,The hiker drank a water from the cold mountain stream .,,The hiker drank a [* s:r:gc:det] water from the cold mountain stream .,The hiker drank a [* s:r:gc:det] water from the cold mountain stream .,
train,916,synthetic,1,The happiness is the most important thing .,,The [* s:r:gc:det] happiness is the most important thing .,The [* s:r:gc:det] happiness is the most important thing .,
train,1634,synthetic,1,is [//] it went into a water .,,is [//] it went into a [* s:r:gc:det] water .,is [//] it went into a [* s:r:gc:det] water .,
train,8530,synthetic,1,The boy called his mother and asked for him .,,The boy called his mother and asked for him [* s:r:gc:det] .,The boy called his mother and asked for him [:: her] [* s:r:gc:pro] .,
train,1316,synthetic,1,and then he had none [/] none &-um money .,,and then he had none [/] none [* s:r:gc:det] &-um money .,and then he had none [/] none [:: no] [* s:r:gc:det] &-um money .,
train,6840,synthetic,1,The bride walked down the aisle and everyone looked at him .,,The bride walked down the aisle and everyone looked at him [* s:r:gc:det] .,The bride walked down the aisle and everyone looked at him [:: her] [* s:r:gc:pro] .,
train,914,synthetic,1,She ate a rice for her dinner .,,She ate a [* s:r:gc:det] rice for her dinner .,She ate a [* s:r:gc:det] rice for her dinner .,
train,917,synthetic,1,Can I have a help with these bags ?,,Can I have a [* s:r:gc:det] help with these bags ?,Can I have a [* s:r:gc:det] help with these bags ?,
train,956,synthetic,1,The analysis provided a useful informations for the researchers .,,The analysis provided a [* s:r:gc:det] useful information for the researchers .,The analysis provided a [* s:r:gc:det] useful information for the researchers .,
train,8553,synthetic,1,The brother saw his sister and hit him .,,The brother saw his sister and hit him [* s:r:gc:det] .,The brother saw his sister and hit him [:: her] [* s:r:gc:pro] .,
train,8471,synthetic,1,Want that toys .,,want that [* s:r:gc:det] toys .,want that [:: those] [* s:r:gc:det] toys .,
train,6842,synthetic,1,The waitress said he would bring the menu soon .,,The waitress said he [* s:r:gc:det] would bring the menu soon .,The waitress said he [:: she] [* s:r:gc:pro] would bring the menu soon .,
train,8522,synthetic,1,I saw the queen and bowed to him .,,I saw the queen and bowed to him [* s:r:gc:det] .,I saw the queen and bowed to him [:: her] [* s:r:gc:pro] .,
train,908,synthetic,1,She gave me the advice about my career .,,She gave me the [* s:r:gc:det] advice about my career .,She gave me the [* s:r:gc:det] advice about my career .,
train,921,synthetic,1,The luck is necessary for this game .,,The [* s:r:gc:det] luck is necessary for this game .,The [* s:r:gc:det] luck is necessary for this game .,
train,8527,synthetic,1,The stepmother looked at him in the mirror .,,The stepmother looked at him [* s:r:gc:det] in the mirror .,The stepmother looked at him [:: her] [* s:r:gc:pro] in the mirror .,
train,8476,synthetic,1,Those flower in the ceramic vase are starting to die .,,Those [* s:r:gc:det] flower in the ceramic vase are starting to die .,Those flower [:: flowers] [* m:+s:a] in the ceramic vase are starting to die .,
train,913,synthetic,1,Do you have a luck today ?,,Do you have a [* s:r:gc:det] luck today ?,Do you have a [* s:r:gc:det] luck today ?,
train,1410,synthetic,1,and then they [//] <he tied off the> &+b [//] <he tied off> [//] he tied the balloon off of the wagon .,,and then they [//] <he tied off the> &+b [//] <he tied off> [//] he tied the balloon off of [* s:r:prep] the wagon .,and then they [//] <he tied off the> &+b [//] <he tied off> [//] he tied the balloon off of [:: to] [* s:r:prep] the wagon .,
train,1323,synthetic,1,and [/] and he was &-like asking for his mom for money .,,and [/] and he was &-like asking for [* s:r:prep] his mom for money .,and [/] and he was &-like asking for [* s:r:prep] his mom for money .,
train,1911,synthetic,1,I'll just call them as bunnies .,,(..) I'll just call them as [* s:r:prep] bunnies .,(..) I'll just call them as [* s:r:prep] bunnies .,
eval,1276,DLD,1,and then they're line up .,,and then they're line [* m:0ed] up .,and then they're line [:: lined] [* m:0ed] up .,
eval,1670,DLD,1,it's going in the side the water .,,it's going in the [* s:r:gc:det] side the water .,it's going in the [* s:r:gc:det] side the water .,
eval,1685,TD,1,there is a thing jump in the water .,,there is a thing jump [* m:0ing] in the water .,there is a thing jump [:: ing] [* m:0ing] in the water .,
eval,1560,TD,1,then he takes some bag of cookies .,,then he takes some bag [* m:0s:a] of cookies .,then he takes some bag [:: s] [* m:0s:a] of cookies .,
eval,1657,TD,1,they're gonna fly a airplane over the water .,,they're gonna fly a [* m:allo] airplane over the water .,they're gonna fly a [:: an] [* m:allo] airplane over the water .,
eval,1651,TD,1,he picked up a orange .,,he picked up a [* m:allo] orange .,he picked up a [:: an] [* m:allo] orange .,
eval,1863,TD,1,there's a elephant dressed like a girl .,,there's a [* m:allo] elephant dressed like a girl .,there's a [:: an] [* m:allo] elephant dressed like a girl .,
eval,1864,TD,1,a elephant swimming bare naked .,,a [* m:allo] elephant swimming bare naked .,a [:: an] [* m:allo] elephant swimming bare naked .,
eval,1492,TD,1,&-um there is a sign that said no running .,,&-um there is [* m:base:ed] a sign that said no running .,&-um there is [:: was] [* m:base:ed] a sign that said no running .,
eval,1523,TD,1,and he thought it won't sink .,,and he thought it won't [* m:base:ed] sink .,and he thought it won't [:: wouldn't] [* m:base:ed] sink .,
test,1429,DLD,1,and the puppy and the &+ki kitty and the is sick .,,and the puppy and the &+ki kitty and the is [* m:vsg:a] sick .,and the puppy and the &+ki kitty and the is [:: are] [* m:vsg:a] sick .,
test,1729,TD,2,and so they jumped and jumped tried to pedal .,,and so they jumped and jumped tried [* m:+ed] [* m:0ing] to pedal .,and so they jumped and jumped tried [:: trying] [* m:+ed] [* m:0ing] to pedal .,
test,1841,TD,2,so he was started to be &+eh always day or long .,,so he was started [* m:0ing] [* m:+ed] to be &+eh always day or long .,so he was started [:: starting] [* m:0ing] [* m:+ed] to be &+eh always day or long .,
test,1859,TD,1,a elephant and a zebra were xxx a balloon .,,a [* m:allo] elephant and a zebra were xxx a balloon .,a [:: an] [* m:allo] elephant and a zebra were xxx a balloon .,
test,1702,TD,1,he tried to fly it high so it could be more like a airplane .,,he tried to fly it high so it could be more [!] like a [* m:allo] airplane .,he tried to fly it high so it could be more [!] like a [:: an] [* m:allo] airplane .,
test,1282,TD,1,and then they scoop a sand and make a sandcastle and pour some sand .,,and then they scoop a [* s:r:gc:det] sand and make a sandcastle and pour some sand .,and then they scoop a [* s:r:gc:det] sand and make a sandcastle and pour some sand .,
test,1874,TD,1,(.) she's face is like .,,(.) she's [* s:r:gc:pro] face is like [^ makes face] .,(.) she's [:: her] [* s:r:gc:pro] face is like [^ makes face] .,
test,2003,TD,1,and then the doggy ran to the doctor bunny to help .,,and then the doggy ran to the doctor bunny to [* s:r:prep] help .,and then the doggy ran to the doctor bunny to [:: for] [* s:r:prep] help .,
eval_coverage,176,synthetic,1,She don't has one pencil .,,She don't has [* m:+3s:a] one pencil .,She don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s:a] one pencil .,
eval_coverage,179,synthetic,1,You did likes it yesterday .,,You did likes [* m:+3s:a] it yesterday .,You did likes [:: like] [* m:+3s] it yesterday .,
eval_coverage,113,synthetic,1,She must stays in the office until five .,,She must stays [* m:+3s] in the office until five .,She must stays [:: stay] [* m:+3s] in the office until five .,
eval_coverage,7799,synthetic,1,He must stays at home today .,,He must stays [* m:+3s] at home today .,He must stays [:: stay] [* m:+3s] at home today .,
eval_coverage,7144,synthetic,1,The building entrance is locked .,,The building [* m:0's] entrance is locked .,The building [:: building's] [* m:0's] entrance is locked .,
eval_coverage,9384,synthetic,1,The ocean waves were very high .,,The ocean [* m:0's] waves were very high .,The ocean [:: ocean's] [* m:0's] waves were very high .,
eval_coverage,9338,synthetic,1,The laptop battery is almost dead .,,The laptop [* m:0's] battery is almost dead .,The laptop [:: laptop's] [* m:0's] battery is almost dead .,
eval_coverage,1403,synthetic,1,is say thank you .,,is say [* m:0ing] thank you .,is say [:: ing] [* m:0ing] thank you .,
eval_coverage,1695,synthetic,1,the horse &-um &-uh is [//] has a airplane in his hand .,,the horse &-um &-uh is [//] has a [* m:allo] airplane in his hand .,the horse &-um &-uh is [//] has a [:: an] [* m:allo] airplane in his hand .,
eval_coverage,1543,synthetic,1,&-um a elephant &+s was [/] was playing balls .,,&-um a [* m:allo] elephant &+s was [/] was playing balls .,&-um a [:: an] [* m:allo] elephant &+s was [/] was playing balls .,
eval_coverage,1590,synthetic,1,then &-um he [//] they can't find it .,,then &-um he [//] they can't [* m:base:ed] find it .,then &-um he [//] they can't find it .,no errors
eval_coverage,9566,synthetic,1,The researcher found many louse on the laboratory samples .,,The researcher found many louse [* m:base:s] on the laboratory samples .,The researcher found many louse [:: lice] [* m:base:s] on the laboratory samples .,
eval_coverage,9561,synthetic,1,He washed his two foot before going to sleep .,,He washed his two foot [* m:base:s] before going to sleep .,He washed his two foot [:: feet] [* m:base:s] before going to sleep .,
eval_coverage,7325,synthetic,1,The giant had many sharp tooth in his mouth .,,The giant had many sharp tooth [* m:base:s] in his mouth .,The giant had many sharp tooth [:: teeth] [* m:base:s] in his mouth .,
eval_coverage,8281,synthetic,1,The winter storm will broke the branches of the tree .,,The winter storm will broke [* m:irr:ed] the branches of the tree .,The winter storm will broke [:: break] [* m:irr:ed] the branches of the tree .,
eval_coverage,9449,synthetic,1,The old woman told a story about that children in the woods .,,The old woman told a story about that children [* m:irr:s] in the woods .,The old woman told a story about that children [:: child] [* m:irr:s] in the woods .,
eval_coverage,9472,synthetic,1,big children cry .,,big children [* m:irr:s] cry .,big children [:: child] [* m:irr:s] cry .,
eval_coverage,1799,synthetic,1,&-uh the elephant an(d) [/] an(d) I was happy .,,&-uh the elephant an(d) [/] an(d) I was [* m:vsg:a] happy .,&-uh the elephant an(d) [/] an(d) I was [:: were] [* m:vsg:a] happy .,
eval_coverage,9877,synthetic,2,The people was gathered to hear the king speech .,,The people was [* m:vsg:a] gathered to hear the king [* m:0's] speech .,The people was [::was ] [* m:vsg:a] gathered to hear the king [:: 's] [* m:0's] speech .,
eval_coverage,8477,synthetic,1,Each flowers in the garden needs plenty of water .,,Each [* s:r:gc:det] flowers in the garden need plenty of water .,Each [:: all] [* s:r:gc:det] flowers in the garden need plenty of water .,
test_coverage,7911,synthetic,1,does you thinks that it will rain tomorrow ?,,does [* m:+3s:a] you thinks that it will rain tomorrow ?,does [:: do] [* m:+3s:a] you thinks that it will rain tomorrow ?,
test_coverage,174,synthetic,1,Us wants more orange juice .,,Us wants [* m:+3s:a] juice .,Us [:: we] [* s:r:gc:pro] wants [:: want] [* m:+3s:a] juice .,
test_coverage,103,synthetic,1,He doesn't likes the new coffee machine .,,He doesn't likes [* m:+3s] the new coffee machine .,He doesn't likes [:: like] [* m:+3s] the new coffee machine .,
test_coverage,7787,synthetic,1,"Every Sunday , they watched the game at the stadium .",,"Every Sunday , they watched [* m:+ed] the game at the stadium .","Every Sunday , they watched [:: watch] [* m:+ed] the game at the stadium .",
test_coverage,7726,synthetic,1,"Every morning , the student started his work early .",,"Every morning , the student started [* m:+ed] his work early .","Every morning , the student started [:: start] [* m:+ed] his work early .",
test_coverage,7858,synthetic,2,he don't likes .,,he don't [* m:03s:a] likes [* m:+3s] .,he don't [:: doesn't] [* m:03s:a] likes [:: like] [* m:+3s] .,
test_coverage,7477,synthetic,1,The professor explain the complex theory during yesterday class .,,The professor explain [* m:0ed] the complex theory during yesterday class .,The professor explain [:: explained] [* m:0ed] the complex theory during yesterday class .,
test_coverage,1783,synthetic,1,once upon a time they wanna fly the airplane over the water .,,once upon a time they wanna [* m:0ed] fly the airplane over the water .,once upon a time they wanna [:: wanted to] [* m:0ed] fly the airplane over the water .,
test_coverage,9028,synthetic,1,They offered the several guest some water .,,They offered the several guest [* m:0s:a] some water .,They offered the several guest [:: s] [* m:0s:a] some water .,
test_coverage,6807,synthetic,1,Word was speak .,the word was speak .,Word was speak [* m:base:en] .,the word was speak [:: spoken] [* m:base:en] .,I change the input because unbiguous
test_coverage,6830,synthetic,1,The take photos were blurry .,,The take [* m:base:en] photos were blurry .,The take [:: taken] [* m:base:en] photos were blurry .,
test_coverage,7312,synthetic,1,My child are playing together .,,My child [* m:base:s] are playing together .,My child [:: children] [* m:base:s] are playing together .,
test_coverage,7310,synthetic,1,See the goose ?,,See the goose [* m:base:s] ?,See the goose [:: geese] [* m:base:s] ?,
test_coverage,9556,synthetic,1,She has several white tooth in her mouth .,,She has several white tooth [* m:base:s] in her mouth .,She has several white tooth [:: teeth] [* m:base:s] in her mouth .,
test_coverage,9486,synthetic,1,Each criteria was evaluated by the research team .,,Each criteria [* m:irr:s] was evaluated by the research team .,Each criteria [:: criterion] [* m:irr:s] was evaluated by the research team .,
test_coverage,9433,synthetic,1,&-um a people there .,&-um a people stands there .,&-um a people [* m:irr:s] there .,&-um a people [:: person] [* m:irr:s] stands there .,I change the input because unbiguous
test_coverage,7607,synthetic,1,broken toy last night .,he broken a toy last night .,broken [* m:sub:ed] toy last night .,he broken [:: broke] [* m:sub:ed] a toy last night .,I change the input because unbiguous
test_coverage,6972,synthetic,1,They would have came to the wedding if invited .,,They would have came [* m:sub:en] to the wedding if invited .,They would have came [:: come] [* m:sub:en] to the wedding if invited .,
test_coverage,9838,synthetic,1,&-uh I is hungry .,,&-uh I is [* m:vsg:a] hungry .,&-uh I is [:: am] [* m:vsg:a] hungry .,
test_coverage,78,synthetic,2,he don't liked milk .,,he don't [* m:vun:a] liked [* m:+ed] milk .,he don't [:: doesn't] [* m:03s:a] liked [:: liked] [* m:+ed] milk .,
test_coverage,8060,synthetic,1,The choosing was very difficult for the committee .,,The choosing [* s:r:der] was very difficult for the committee .,The choosing [:: choice] [* s:r:der] was very difficult for the committee .,
test_coverage,8515,synthetic,1,The male waiter said she would be right back .,,The male waiter said she [* s:r:gc:det] would be right back .,The male waiter said he [:: she] [* s:r:gc:pro] would be right back .,
test_coverage,941,synthetic,1,The company purchased these equipment for the new laboratory .,,The company purchased these [* s:r:gc:det] equipment for the new laboratory .,The company purchased these [* s:r:gc:det] equipment for the new laboratory .,
test_coverage,6847,synthetic,1,Grandfather is resting because she is very tired .,,Grandfather is resting because she [* s:r:gc:det] is very tired .,Grandfather is resting because she [:: he] [* s:r:gc:pro] is very tired .,
holdout,1455,synthetic,2,and get [/] get more looser and more looser .,,and get [/] get more looser [* m:++er] and more looser [* m:++er] .,and get [/] get more looser [* m:++er] and more looser [* m:++er] .,
holdout,7349,synthetic,1,This is the most baddest dream .,,This is the most baddest [* m:++est] dream .,This is the most baddest [:: worst] [* m:++est:i] dream .,
holdout,7545,synthetic,1,This is the bad headache I ever had .,,This is the bad [* m:0est] headache I ever had .,This is the bad [:: worst] [* m:0est] headache I ever had .,
holdout,7574,synthetic,1,The new teacher is fanny than the old one .,,The new teacher is fanny [* m:0er] than the old one .,The new teacher is fanny [:: fannier] [* m:0er] than the old one .,
holdout,8605,synthetic,1,I've never seen a more uglier xxx .,,I've never seen a more uglier [* m:++er] xxx .,I've never seen a more uglier [* m:++er] xxx .,
holdout,9617,synthetic,1,This is the most baddest thing .,,This is the most baddest [* m:++est] thing .,This is the most baddest [:: worst] [* m:++est:i] thing .,
holdout,9659,synthetic,1,That was the most baddest mistake he made .,,That was the most baddest [* m:++est] mistake he made .,That was the most baddest [:: worst] [* m:++est:i] mistake he made .,
holdout,10038,synthetic,1,She gave the nice performance today .,,She gave the nice [* m:0est] performance today .,She gave the nice [:: nicest] [* m:0est] performance today .,
holdout,10091,synthetic,1,She has the long hair in the school .,,She has the long [* m:0est] hair in the school .,She has the long [:: longest] [* m:0est] hair in the school .,
train,1867,synthetic,2,(...) it fell down and [/] and the customer is real angry: .,,(...) it fell down and [/] and the customer is [* m:base:ed] real [:: really] [* s:r:der] angry: .,(...) it fell down and [/] and the customer is [:: was] [* m:base:ed] real [:: really] [* s:r:der] angry: .,autofill_unresolved:[* m:base:ed]:missing_irregular_mapping
train,8777,synthetic,2,He look to the dog .,,He look [* m:base:ed] to [:: at] [* s:r:prep] the dog .,He look [:: looks] [* m:03s:a] to [:: at] [* s:r:prep] the dog .,autofill_unresolved:[* m:base:ed]:missing_irregular_mapping
test,1751,TD,1,once upon a time there's a little bloy .,,once upon a time there's [* m:base:ed] a little bloy [: boy] .,once upon a time there's [:: was] [* m:base:ed] a little bloy [: boy] .,autofill_unresolved:[* m:base:ed]:non_alpha_token
